delhaize_name,action,pyfooda_name,llm_raw_name,grams
FRASER 1//2 E,ignore,,,
FRASSE 500G,ignore,,,500.0
FRESH CLEAN BR PEP,ignore,,,
FRISK CLEAN BR PEP,ignore,,,
FRISK XL TINS PEP,ignore,,,
FROMAGE ENTIE,ignore,,,
FRUIT & LEGUMES,ignore,,,
FRUIT ET LEGUMES,ignore,,,
FUSILLI,match,FUSILLI,FUSILLI,
GALBANI CROCC MOZZ,match,MOZZARELLA,MOZZARELLA,
GALBANI MOZZA 125G,match,MOZZARELLA,MOZZARELLA,125.0
GALBANI RICOTTA 25,match,"GALBANI, RICOTTA CHEESE","GALBANI, RICOTTA CHEESE",
GAROF MOZZA BUF A D,match,MOZZARELLA,MOZZARELLA,
GAROF MOZZA BUFAL D,match,BUFFALO MOZZARELLA,BUFFALO MOZZARELLA,
GAROF MOZZA BUFALINA,match,MOZZARELLA,MOZZARELLA,
GAROF MOZZA BUFFA C,match,MOZZARELLA,MOZZARELLA,
GARZPACHO 1L,ignore,,,1000.0
GAUFR CH,ignore,,,
GEMARINEERDE RIBS,ignore,,,
GERLINA CHOCOLAT,ignore,,,
GERLINEA CHOCOLAT,ignore,,,
GMBER POEDER,ignore,,,
GOACAMOLE DO 200GR,ignore,,,200.0
GOUDA TRANC JEUNE,match,GOUDA CHEESE,GOUDA CHEESE,
"GOUDA, TRANC JEUNE",match,GOUDA CHEESE,GOUDA CHEESE,
GPC POMC PINK LAD,match,APPLE,APPLE,
GRAN CHOC&NO,ignore,,,
GRANA PADANO,match,GRANA PADANO,GRANA PADANO,
GRILLADE CURRY DOU,match,CURRY,CURRY,
GROENE SELDER PER ST,ignore,,,
GROENTEA CAFE TRAP,ignore,,,
"GS: 225,77",ignore,,,
GUAC MEUS NOI,ignore,,,
GUACAMOLE DO 200GR,match,GUACAMOLE,GUACAMOLE,200.0
GUACAMOLE DOUX,match,GUACAMOLE,GUACAMOLE,
GUACRACHO 11,ignore,,,
HACHIS,ignore,,,
HACHIS BOEUF&PORC,match,Pork,,
HACHIS BOEUF§DORC,match,BEEF,BEEF,
HACHIS BOUEF/PORC,match,Pork,,
HACHIS P&V S/EPICE,ignore,,,
HACHIS PORC-VEAU,match,GROUND VEAL,GROUND VEAL,
HAR TRAMTE BROOD P,match,BREAD,BREAD,
HARICOT PAIN 500GR,match,BREAD,BREAD,500.0
HARICOT PRIN 500GR,match,HARICOTS VERTS,HARICOTS VERTS,500.0
HARICOTS FINS 400G,ignore,,,400.0
HEERLSE BROOD P,match,BREAD,BREAD,
HERITAGE PATÉ ZNE RON,ignore,,,
HERTA BLINIS 2KG,ignore,,,2000.0
HERTA JAMBON BROOD P,match,Ham,,
HERTA JAMBON SUP,match,Ham,,
HERTA LADINS NATUR,ignore,,,
HERTA LARDNS NAT,ignore,,,
HERTA LARDNS NATUR,ignore,,,
HERTA LRDNS NAT,ignore,,,
HERTA LRDNS NATUR,ignore,,,
HERTA LRDS NATUR,ignore,,,
HERTA MINI PI,ignore,,,
HERTA PATE BRISSEE,ignore,,,
HERTA PATE FNE RON,ignore,,,
HET TRAAGSTE BROOD,match,BREAD,BREAD,
HET TRAAGSTE BROOD D,match,BREAD,BREAD,
HET TRAAGSTE BROOD P,match,BREAD,BREAD,
HET TRAGASTE BROOD P,match,BREAD,BREAD,
HET TRAGSTE BROOD,match,BREAD,BREAD,
HET TRAGSTE BROOD P,match,BREAD,BREAD,
HET TRANSTGE BROOD P,match,BREAD,BREAD,
HG DET ECL CARREL,ignore,,,
HG DETACH SPEC 1,ignore,,,
HG DETACH SPEC 7,ignore,,,
HG SCHIMMELVLEKENRE,ignore,,,
HGK RCH PG MCH,ignore,,,
HMC COR,ignore,,,
HMC SERVIETTE 33CM,ignore,,,
HOUMOUS,match,HOMMUS,HOMMUS,200.0
HUMMUS,match,Hummus,,
HUMMUS PINK LAD,match,Hummus,,
HUMOUS,ignore,,,
HUMOUS MAXI,ignore,,,
ITAL STYLE GRAINS,ignore,,,
JAMBON 4 1 OS AUTH,match,Ham,,
JAMBON A L OS AUTH,match,Ham,,
JAMBON A L'OS AUTH,match,Ham,,
JAMBON CUIT AU FOU,match,Ham,,
JAMBON DE FERME,match,Ham,,
JAMBON DEGRAISSE,match,Ham,,
JAMBON PARME,match,Ham,,
JENVERBRESEN,ignore,,,
JEUNE POUSE MIX,ignore,,,
JEUNE POUSS MIK,ignore,,,
JEUNE POUSS MIX,ignore,,,
JEUNE POUSSE MIX,ignore,,,
JOLIBOIS OEUFS 5+1,ignore,,,
K&K 40%,ignore,,,
KAKI 4P,ignore,,,
KINZ SUNGOLD XL,ignore,,,
KIPFILET BLOND XL,ignore,,,
KIWI GOLD,match,KIWI,KIWI,
KIWI GROEN XL 4 STUK,match,KIWI,KIWI,
KIWI JAUNE,match,KIWI,KIWI,
KIWI JAUNE 500G,match,KIWI,KIWI,500.0
KIWI SUNGOLD XL,match,KIWI,KIWI,
KIWI VERT,match,KIWI,KIWI,
KLEEN GREEN XL 4 STUK,match,GREEN TEA,GREEN TEA,
KLEI VADEN,ignore,,,
KLEIN GREEN XL 4 STUK,match,GREEN TEA,GREEN TEA,
KROEPOEK NAT,ignore,,,
KROK FLOCONS LAIT,ignore,,,
LAISE NATUREL,ignore,,,
LE BEURRE BIO,ignore,,,
LEEGGOD,ignore,,,
LIEGEOIS GOUT CAFE,ignore,,,
LIJNZAAD GEBROKEN 15,ignore,,,
LINDET EXCELLENCE,ignore,,,
LINDEX EXCELLENCE,ignore,,,
LINDT EXC12 CCAO,ignore,,,
LINDT EXCELLENCE,match,"LINDT EXCELLENCE, DARK CHOCOLATE, DARK","LINDT EXCELLENCE, DARK CHOCOLATE, DARK",
LINGOT EXCELLENCE,ignore,,,
LINTF EXCEL CACAO,match,CACAO,CACAO,
LITCHIS,ignore,,,
MAGUE,ignore,,,
MANDARINES,match,MANDARINS,MANDARINS,
MANDARINES A FEUIL,match,MANDARINS,MANDARINS,
"MANDARINES A FEUIL 4,46",match,MANDARINS,MANDARINS,
MANDARINES FEUILLE,match,MANDARINS,MANDARINS,
MANGUE,match,MANGO,MANGO,
MARCHEOUS BLOC TRA,ignore,,,
MAREDSOUS TRADITIO,ignore,,,
MASCARPONE SL 500G,match,MASCARPONE CHEESE,MASCARPONE CHEESE,500.0
MECHELSESTEWEG 207,ignore,,,
MEDAILLON DE VEAU,match,GROUND VEAL,GROUND VEAL,
MEERGRANENSTOK.GROO,ignore,,,
MEERGRANENSTOKB.GROO,ignore,,,
MEGA CRUNCHY CREAM,match,CREAM,CREAM,
MEI BABYBEL,ignore,,,
MEL JEUNES POUSSE,ignore,,,
MEL. JEUNES POUSSE,ignore,,,
MELI-MELO JORIS,ignore,,,
MELO CAKES,ignore,,,
MENTHE GROS PO BIO,match,CREME DE MENTHE,CREME DE MENTHE,
MERCERENSTOK.GROO,ignore,,,
MERGELSTOKS.GROO,ignore,,,
MES DEJEUNER DE SALAD,ignore,,,
MESCLUN,ignore,,,
MGA MELLO CAKE,match,Rice cake,Rice cake,
"MIGNON DE PORC 3,08",match,Pork,,
"MIGNON DE PORC 3,40",match,Pork,,
"MIGNON DE PORC 4,58",match,Pork,,
MIKADO CHOC LAIT,ignore,,,
MILKA CHOCO SUPREM,ignore,,,
MINI BABYBEL,ignore,,,
MINI BURGER ANGUS,ignore,,,
MINI BURGER LIMOUS,match,"Beef, ground, patty","Beef, ground, patty",
MINI BUTCHER BURGE,ignore,,,
MINI SPECULOOS CHO,ignore,,,
MINIQUES 500GR,ignore,,,500.0
MINT GRENAILLES 50,match,MINT,MINT,
MINT-PIMENTS MIX,match,MINT,MINT,
MIRTILLES 500GR,ignore,,,500.0
MIXTEARD 250G IMPE,ignore,,,250.0
MKA 30 MELO CAKES,ignore,,,
MKADO CHOC LAIT,ignore,,,
MOUSSE MOKKA,ignore,,,
MOUSSEL POM.MATER,ignore,,,
MOUSSEL.POM.MATER,ignore,,,
MOZZA BUFALINA,match,MOZZARELLA,MOZZARELLA,
MOZZA SX10,match,MOZZARELLA,MOZZARELLA,
MOZZARELLA 125GR,match,MOZZARELLA CHEESE,MOZZARELLA CHEESE,125.0
MOZZARELLA MAXI,match,MOZZARELLA CHEESE,MOZZARELLA CHEESE,
MRA 30 MELO CAKES,ignore,,,
MRK 30 MELO CAKES,ignore,,,
MRS JEUNES POUSSE,ignore,,,
MRS. JEUNES POUSSE,ignore,,,
MULIGRAINS BUN,ignore,,,
MULTIGRAINS SUN,match,CRISPBREAD,CRISPBREAD,
MYRTELLE 150GR,ignore,,,150.0
MYRTELLES 500GR,ignore,,,500.0
MYRTILLES 500GR,match,BLUEBERRIES,BLUEBERRIES,500.0
NATURAL OLIVES BIO,ignore,,,
NECTARINE BLANCHE,match,NECTARINES,NECTARINES,
NECTARINE JAUNE,match,NECTARINES,NECTARINES,
NEOJOYANCE CITRONEL,ignore,,,
NESCAFE ESPRESSO,ignore,,,
NET MULTISURF ECO,ignore,,,
NIVEA ROLL DRY IMP,match,EGG ROLLS,EGG ROLLS,
NIVEA ST. CLEAR,ignore,,,
NOCCI CONF FIGUES,ignore,,,
NOIR DE NOIR C OR,ignore,,,
NOISETTES D AGNEAU,match,"Lamb, chop","Lamb, chop",
NOISETTES D'AGNEAU,ignore,,,
NOSTAL CONF FIGUES,ignore,,,
NOUVEAU SOLDE DE POINTS,ignore,,,
"NS: 207,23",ignore,,,
NUGGETS,match,NUGGETS,NUGGETS,
NUTELLA,ignore,,,
OEUFS 6PC,ignore,,,
OEUFS BIO 12 PCS,ignore,,,
OEUFS COLOMBUS,ignore,,,
OEUFS COLUMBUS,ignore,,,
OEUFS COQUUES,ignore,,,
OEUFS FRAIS BIO 12PC,ignore,,,
OEUVFS BIO 12 PCS,ignore,,,
OEUVS COLUMBUS,ignore,,,
OIGNON JAUNE GEANT,ignore,,,
OIGNON ROUGE 2PC,ignore,,,
OIGNONS JAUNE 1KG,ignore,,,1000.0
OIGNONS JAUNES:2KG,ignore,,,2000.0
OLIVE DENOVA 130G,match,OLIVES,OLIVES,130.0
OLIVE DENOYA 130G,match,OLIVES,OLIVES,130.0
OLIVES A L'AIL,ignore,,,
OLIVES KALAMATA,ignore,,,
ORAL B PREC CL REF,ignore,,,
ORALB ENAMEL 1+1,ignore,,,
ORANGE,match,ORANGE,ORANGE,
ORANGES 4P,match,ORANGES,ORANGES,
OREO GRIG VANILLE,ignore,,,
PACK PINK LADY,match,APPLE,APPLE,
PADANO,match,GRANA PADANO,GRANA PADANO,
PAIN DE VIANDE,match,BREAD,BREAD,
PAMPLEMOUSSE ROUGE,ignore,,,
PASTEQUE MINI,ignore,,,
PATE A PIZZA,ignore,,,
PATE DE LARD 1L,ignore,,,
PATEE IL,ignore,,,
PDT CHARLOTTE 1KG,ignore,,,1000.0
PDT GRENA 1KG BIO,ignore,,,1000.0
PDT GRENAILLE 1KG,ignore,,,1000.0
PECORINO ROMANO AO,match,ROMANO CHEESE,ROMANO CHEESE,
PEL PINK LADY 6P,match,APPLE,APPLE,
PENNE RIGATE 500G,match,PENNE RIGATE,PENNE RIGATE,500.0
PENNE RIGATE BARI,ignore,,,
PEREN,ignore,,,
PERSIL BOUTE,ignore,,,
PERSIL EN POT BIO,match,PARSLEY,PARSLEY,
PESTO VERT 100G,match,PESTO,PESTO,100.0
PETIT LION HOM NA,match,COOKIES,COOKIES,
PHILADELPHIA ORIGI,ignore,,,
PICCOLINI PENNE,match,PENNE,PENNE,
"PILO DE POULET 5,99",match,CHICKEN,CHICKEN,
PILON DE POULET,match,CHICKEN,CHICKEN,
PISSOILET,ignore,,,
PIZZA MOZZA 125G,match,PIZZA SAUCE,PIZZA SAUCE,125.0
PIZZA MOZZA PESTO,match,PESTO,PESTO,
PLATEAU FAMIGLIA,ignore,,,
POI: 01691910,match,Poi,Poi,
POINTS SUR MONTANT DES ACHATS,ignore,,,
POIRES D'OLLE,ignore,,,
POIS CHICHES,ignore,,,
POISSON NUGGETS,ignore,,,
POIVRON ROUGE,ignore,,,
POIVRONS JAUNES,ignore,,,
POIVRONS MIX,ignore,,,
POIVRONS ROUGES,ignore,,,
POMELO,ignore,,,
POMELO 9/PC,ignore,,,
POMME DUCHESSE,ignore,,,
POMME GRENA,ignore,,,
POMMEOUSE ROUGE,ignore,,,
POMMES BROLES,ignore,,,
POMMES DROLES,ignore,,,
POMMES JEUNES POUS,ignore,,,
POMMETTE 500G,ignore,,,500.0
POTIRON BUTTERNUT,match,BUTTERNUT SQUASH,BUTTERNUT SQUASH,
"POTIRON BUTTERNUT 1,550 KG X",match,BUTTERNUT SQUASH,BUTTERNUT SQUASH,1550.0
POUSS MIK,ignore,,,
PR.SAN DANIELE,ignore,,,
PREIS BEURRE 250G,ignore,,,250.0
PREIS BEURRE FT D,ignore,,,
PRESID BEURRE 250G,ignore,,,250.0
PRITT CORRECT-IT,ignore,,,
PROSC CRUDO ITALIA,ignore,,,
PROSCIUTTO ITALIA,match,PROSCIUTTO,PROSCIUTTO,
PROTEIN DR FRAI,match,Soy protein isolate,Soy protein isolate,
PT SUISSE M 6X60G,ignore,,,360.0
RAISIN MIX 500G,match,RAISIN,RAISIN,500.0
RAISIN MLK 500G,match,RAISIN,RAISIN,500.0
RAISIN ROUGE SA PE,match,RAISIN,RAISIN,
RAN POMPADURINETTE 15,ignore,,,
RAVIOLI POMODORI,match,RAVIOLI,RAVIOLI,
RAVIOLI RIC&SPIN,match,RAVIOLI,RAVIOLI,
RHIZIN MUS 500G,ignore,,,500.0
RINSETAK,ignore,,,
RIZ DLONG BIO,ignore,,,
ROMB CACHET DOR G,ignore,,,
ROSBIEF,ignore,,,
ROSBIF,match,DELI ROAST BEEF,DELI ROAST BEEF,
ROSEB,ignore,,,
ROSEIF,ignore,,,
ROSENET PURE PORC,match,Pork,,
ROSETTE,ignore,,,
ROSETTE PURE PORC,match,Pork,,
ROSTIER PURE DORC,ignore,,,
ROSTY,ignore,,,
ROTI DE VEAU,ignore,,,
ROZZA BUFALINA,ignore,,,
SAC A PAIN TRADITIONNEL,match,BREAD,BREAD,
SAC PAIN BASIC N2,match,BREAD,BREAD,
SAIL SURIMI-CRABE,ignore,,,
SAL BLE EMB 100GR,match,SALT,SALT,100.0
SAL BLEME 100GR,ignore,,,100.0
SAL. PRINTANIERE /J,ignore,,,
SAL. SURIMI-CRABE,ignore,,,
SALAD ITALIAN,ignore,,,
SALAD MEXIC STYLE,ignore,,,
SALAD MOROCCA,ignore,,,
SALADE FOLLET,ignore,,,
SALADE POULET,match,CHICKEN,CHICKEN,
SALADE ROUGET,ignore,,,
SALADE TOILET,ignore,,,
SALAMI ROULET,match,SALAMI,SALAMI,
SALAMI TRUFFES PAR,match,SALAMI,SALAMI,
SAN MARZANO,match,TOMATO,TOMATO,
"SAN MARZANO 1,650 KG X",ignore,,,1650.0
SAN PELLEGRINO,ignore,,,
SANPELLEGRINO,ignore,,,
SAPTAF APPEL,ignore,,,
SAUCE PIMENT SRIRA,match,XO SAUCE,XO SAUCE,
SAUCIE POULET,match,CHICKEN,CHICKEN,
SAUCISSE P&V,ignore,,,
SAUCISSON JAMBON,match,Ham,,
SAUM FUM CHAU ANET,ignore,,,
SAUMON BELLE-VUE,ignore,,,
SAUMON FUME,ignore,,,
SAUMON FUME DL,ignore,,,
SCHWEPPES TON,ignore,,,
SERVIETTE PAQUES,ignore,,,
SERVIETTES 33CM,ignore,,,
SH A DEL MEN PURE,ignore,,,
SHERBET 1L,match,SHERBET,SHERBET,1000.0
SHEZZA PATE PIZZA,ignore,,,
SHRIMY MACASSOU,ignore,,,
SN 80836950,ignore,,,
SOMA CANOLA,match,Canola oil,Canola oil,
SOMA CHOCOLAT BIO,ignore,,,
SOMA CRUNCHY CREAM,match,CREAM,CREAM,
SOMA MULTIGRAIN 40,match,MULTIGRAIN BREAD,MULTIGRAIN BREAD,
SOMI MULTIGRAIN 40,ignore,,,
SOML BECEL HUILE,ignore,,,
SOMM SUMM. ECOS,ignore,,,
SONA MULTIGRAIN 40,ignore,,,
SPAGHETTI 500G,match,SPAGHETTI,SPAGHETTI,500.0
SPINAZIE 450GR,ignore,,,450.0
SPRITAIT FRAI,ignore,,,
SRI MARZANO,ignore,,,
STAEDTLER 4 FLUOS,ignore,,,
STEVIA FRUITS BOIS,match,STEVIA,STEVIA,
STEW MARINE,ignore,,,
STOKBROOD,match,BAGUETTE,BAGUETTE,
SUZI CHOCO LAIT 8P,ignore,,,
SUZY CHOCO LAIT BP,ignore,,,
T NOIR DE NOIR C.DO,ignore,,,
T.O.I COMTE AOP,match,COMTE CHEESE,COMTE CHEESE,
TACO DINN KIT,match,TACO SHELLS,TACO SHELLS,
TAGLIATELLE 300G,match,TAGLIATELLE,TAGLIATELLE,300.0
TELLICHERRY PEPPER,match,RED PEPPER,RED PEPPER,
TERUG,ignore,,,
TICKET CLIENT,ignore,,,
TIMBRE(S) MASCOTTE REÇU,ignore,,,
TM BENNEE NOTEN,ignore,,,
TOAST KRAKANT HAU,ignore,,,
TOAST KROKANT HAU,ignore,,,
TOAST ORIGINA,ignore,,,
TOFFEE GRAPPE,match,TOFFEE,TOFFEE,
TOM BELG GRAPP,match,TOMATO,TOMATO,
"TOM BELG GRAPP 1,055 KG X 3,49/ KG",match,TOMATO,TOMATO,1055.0
TOM.CERISES,match,TOMATO,TOMATO,
TOMAT TOAST ROMARIN,ignore,,,
TOMATE CERISE 400G,match,TOMATO,TOMATO,400.0
TOMATE CERISE GRAP,match,TOMATO,TOMATO,
TOMATE GRAPPE,match,TOMATO,TOMATO,
TOMATE SAN MARZANO,match,TOMATO,TOMATO,
TOMATE SAV GRAPPE,match,TOMATO,TOMATO,
TOMATE SAY GRAPPE,match,TOMATO,TOMATO,
TOMATES CERISE 1.5KG,match,TOMATO,TOMATO,1500.0
TOMATES CERISE 1KG,match,TOMATO,TOMATO,1000.0
TOMATES GRAPPE,match,TOMATO,TOMATO,
TORTELLIS BASIL,match,BASIL,BASIL,
TORTELLO TOM,match,TORTELLINI,TORTELLINI,
TORTELLONI BASILI,match,TORTELLINI,TORTELLINI,
TORTILLA BIO,match,TORTILLA,TORTILLA,
TOTAAL,ignore,,,
TOTAL POINTS TICKET,ignore,,,
TOTAL TIMBRE(S) TICKET MASCOTTE,ignore,,,
TOURNEDOS BOEUF,match,BEEF,BEEF,
TR.ORIGINAL 180G,ignore,,,180.0
TRAITEUR,ignore,,,
UDON NOUILLES,match,UDON NOODLE,UDON NOODLE,
UL DOUX SH CAMIL,ignore,,,
ULTRA DOUX SH MERV,ignore,,,
VEET CREME DEP.JAM,match,Jam,,
VEET MINIMA VISAGE,ignore,,,
VEGAN GOUDA 120GR,match,GOUDA CHEESE,GOUDA CHEESE,120.0
VELDSLAA,ignore,,,
VERMICEL LAIT,ignore,,,
VIDANGE VAL 0.6E,ignore,,,
VIDAVAL VAL 1.2E,ignore,,,
VIDEOTEC VAL 0.6E,ignore,,,
VILEDA EPON UNIVER,ignore,,,
VINIGRE VIN BLANC,ignore,,,
VLINDERS,ignore,,,
"VLINDERS 0,655 KG X",ignore,,,655.0
VOLAILLE/GIBIER,ignore,,,
WASABI GREEN 400G,match,Wasabi,,400.0
WRAP TORTILLA,match,TORTILLA,TORTILLA,
WRAPS DE BLE,match,WRAPS,WRAPS,
YAOURT MIGRE BIO,match,YOGURT,YOGURT,
ZESPRI KINE GOLD D,ignore,,,
ZESPRI KIWI GOLD,match,KIWI,KIWI,
